Code,Authors,Title,Year,Journal,DOI,DocumentType,Decision,Reason,IntegrationType,SpatialScale,MethodType,InteractionDirection,ConnectivityFocus,Notes
P155,Evcin Ö.,"Can highway tunnel constructıon change the habitat selection of roe deer (Capreolus capreolus Linnaeus, 1758)?",2023,Environmental Monitoring and Assessment,10.1007/s10661-023-12003-0,Article,accepted,"The study uses ecological niche modeling to investigate whether highway tunnel construction affected the distribution and habitat selection of roe deer. It compares factors influencing distribution before and after construction, including road density.",analytical,regional,modeling,transport_to_ecosystem,partial,Examines how road infrastructure (tunnel) influences animal distribution and habitat selection.
P156,Wu Y.; Qin F.; Li L.; Dong X.,Construction and optimisation of watershed scale ecological network: a case study of kuye river basin,2024,Frontiers in Environmental Science,10.3389/fenvs.2024.1364568,Article,accepted,"This paper constructs an ecological network at the watershed scale, identifying ecological corridors and breakpoints. It explicitly overlays road factors (national highways, provincial roads, railways, high-speed roads) as barriers affecting ecological corridors.",analytical,regional,modeling,transport_to_ecosystem,yes,Identifies road infrastructure as a factor creating breakpoints in ecological corridors.
P157,Wood E.; Nordeen T.; Inselman W.M.; Mahoney P.J.; Benson J.F.,Spatial ecology of female bighorn sheep in a prairie landscape in Nebraska,2022,Journal of Wildlife Management,10.1002/jwmg.22201,Article,accepted,"The study investigates the spatial ecology of female bighorn sheep and finds that home range size is positively associated with road density, suggesting increased energetic costs in areas of higher fragmentation due to roads.",analytical,regional,empirical,transport_to_ecosystem,partial,"Associates home range size with road density, indicating an impact of roads on space use in a fragmented landscape."
P158,"Martin S.A.; Peterman W.E.; Lipps G.J., Jr.; Gibbs H.L.",Inferring population connectivity in eastern massasauga rattlesnakes (Sistrurus catenatus) using landscape genetics,2023,Ecological Applications,10.1002/eap.2793,Article,accepted,"This paper uses landscape genetic analyses to assess the impact of landscape features, especially roads, on the movement of eastern massasauga rattlesnakes. It models landscape resistance and identifies potential sites for corridors.",analytical,regional,modeling,transport_to_ecosystem,yes,Uses landscape genetics to identify roads as features impacting movement and connectivity.
P159,Yan X.; Wei C.; Sun Y.; Hu Y.,"Nonlinear Thresholds in Carbon–Water Functional Synergies under Coastal Reclamation in the Liaohe River Delta, China",2026,Estuaries and Coasts,10.1007/s12237-026-01684-8,Article,accepted,"The study identifies optimal thresholds for sustaining carbon-water functional synergies, including distance to roads. It quantifies the impact of various factors, including proximity to roads, on ecological functions in a coastal wetland system.",analytical,regional,modeling,transport_to_ecosystem,partial,Includes distance to roads as a factor influencing ecological functions and synergies.
P160,Hamilton K.M.; Bommarito T.; Bateman H.L.; Lewis J.S.,"Seasonal and daily use of canal culverts by mammals, reptiles, amphibians, and invertebrates",2025,Wildlife Society Bulletin,10.1002/wsb.1561,Article,accepted,This paper evaluates the use of canal culverts by various wildlife species to assess landscape connectivity across an anthropogenic linear infrastructure (canal). It examines how these structures facilitate movement across the canal.,analytical,regional,empirical,transport_to_ecosystem,yes,Focuses on the use of underpasses (culverts) for canal crossings to maintain landscape connectivity.
P161,Zhang Y.; Wei W.; Qubi S.; Chen M.; Gong Y.; Zhou H.; Zhang Z.; Yuan F.; Han H.,A Survey of the Wild Giant Panda Population and Habitat Reflects an Urgent In Situ Conservation Need: A Case of Meigu Dafengding National Nature Reserve,2023,Diversity,10.3390/d15101039,Article,accepted,"The paper analyzes giant panda habitat suitability, fragmentation, and connectivity in relation to human disturbance, including proximity to roads and settlements. It uses modeling (MaxEnt, FRAGSTATS) to assess habitat and connectivity, directly linking infrastructure (roads) to ecological connectivity concerns.",analytical,regional,modeling,transport_to_ecosystem,yes,"Focuses on habitat suitability and fragmentation, with roads identified as a factor influencing panda activity and habitat selection."
P162,Delgado J.A.; Castaño-Sańchez A.; Bombiń H.; Jimeńez M.D.,The Presence of Rabbit Warrens in an Agricultural Landscape is Related to Patch Features and Distance to a Highway,2023,Polish Journal of Ecology,10.3161/15052249PJE2023.71.1.004,Article,accepted,"This study investigates the distribution of rabbit warrens in relation to agricultural landscape features and proximity to a highway. It explicitly links road presence to habitat fragmentation and potential impacts on rabbit populations, which are key species.",analytical,regional,modeling,transport_to_ecosystem,yes,"Examines how roads influence the presence and abundance of rabbit warrens, suggesting a link to habitat fragmentation and potential population impacts."
P163,Zitomer R.A.; Pope N.S.; Epps C.W.; Crowhurst R.S.; Rivers J.W.,Canopy cover has divergent effects on movement of closely related bumble bees in managed conifer forest landscapes,2025,Landscape Ecology,10.1007/s10980-024-02002-y,Article,accepted,"The paper models the effects of forest canopy cover and secondary road cover on bumble bee movement and colony abundance. It directly assesses how roads (transport infrastructure) impede or have neutral effects on species movement, impacting functional connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,"Investigates the impact of roads on the foraging movement of bumble bees, demonstrating species-specific responses to infrastructure."
P164,Setiawan T.; Prasetyo L.B.; Mulyani Y.A.; Jarulis,"The Habitat Suitability Modelling of Rhinoceros Hornbills (Buceros rhinoceros) in Java Island, Indonesia",2024,Jurnal Pengelolaan Sumberdaya Alam dan Lingkungan,10.29244/jpsl.14.2.253,Article,accepted,"This study models habitat suitability for rhinoceros hornbills and identifies 'distance from road' as a significant environmental variable. It links habitat fragmentation, driven by factors including roads, to the species' vulnerability.",analytical,regional,modeling,transport_to_ecosystem,yes,"Identifies distance from roads as a key factor in habitat suitability modeling for rhinoceros hornbills, implying connectivity impacts."
P165,Pun R.; Joshi N.P.; Pun S.,Factors influencing farmers' preference for farmland consolidation in Nepal: Evidence from randomized conjoint experiment,2024,Agricultural Systems,10.1016/j.agsy.2024.104038,Article,rejected,"While the paper discusses farmland consolidation and the development of roads and irrigation as factors influencing farmers' preferences, it does not directly model or assess the ecological connectivity or biodiversity impacts of these infrastructure developments. The focus is on socio-economic factors and agricultural policy.",unclear,unclear,mixed,unclear,no,"Focuses on farmer preferences for land consolidation, with roads mentioned as an infrastructure component, but no ecological connectivity analysis."
P166,Stemle L.R.; Laabs D.; Searcy C.A.,"Land use change, fragmentation, and sea level rise create escalating viability concerns for an imperiled salamander",2025,Ecosphere,10.1002/ecs2.70284,Article,accepted,The paper quantifies the impact of habitat fragmentation due to roads on salamander populations. It models the reduction in suitable and accessible upland habitat caused by roads and assesses their effect on connectivity and long-term viability.,analytical,regional,modeling,transport_to_ecosystem,yes,"Quantifies the impact of roads on habitat fragmentation and accessibility for a salamander species, directly assessing connectivity loss."
P167,Remon J.; Moulherat S.; Cornuau J.H.; Gendron L.; Richard M.; Baguette M.; Prunier J.G.,Patterns of gene flow across multiple anthropogenic infrastructures: Insights from a multi-species approach,2022,Landscape and Urban Planning,10.1016/j.landurbplan.2022.104507,Article,accepted,"This study uses landscape genetics to assess the impact of multiple anthropogenic infrastructures, including roads and a motorway, on the gene flow of four species. It demonstrates how these infrastructures fragment landscapes and affect species dispersal and connectivity, highlighting species-specific responses.",analytical,regional,modeling,transport_to_ecosystem,yes,"Uses landscape genetics to analyze the impact of various infrastructures, including roads, on gene flow and connectivity across multiple species."
P168,Lama S.; Shrestha S.; Sherpa A.P.; Tamang M.; Ghale D.,Avifaunal Diversity in Important Bird Areas of Western Nepal,2022,Eco.mont,10.1553/eco.mont-14-2s70,Article,accepted,"The paper identifies threats to bird populations in an Important Bird Area, including habitat fragmentation due to hydropower projects and roads. It recommends landscape-level research on the impacts of roads and calls for preventing habitat fragmentation.",conceptual,local,empirical,transport_to_ecosystem,yes,Identifies roads as a threat contributing to habitat fragmentation and recommends further research on their impacts on bird populations.
P169,He K.; Huang S.; Zhao Y.; Lu H.,"Constructing an Ecological Network in Mountainous Areas under Disaster Risk Pressures: A Case Study of Guanling, Guizhou Province; [地灾风险胁迫下山地生态网络构建−以贵州关岭县为例]",2026,Tropical Geography,10.13284/j.cnki.rddl.20250584,Article,accepted,"This study constructs an ecological network in a mountainous area, identifying ecological corridors and barriers. While not solely focused on roads, it identifies 'ecological barrier points' and 'human activity interference' which can include infrastructure like roads, impacting connectivity.",analytical,regional,modeling,unclear,yes,"Constructs an ecological network and identifies barriers, with human activity interference being a factor, which can encompass roads."
P170,Singh R.K.; Shah K.; Sharma G.P.,"Evolving road networks and urban landscape transformation in the Himalayan foothills, India",2024,Environmental Monitoring and Assessment,10.1007/s10661-024-13303-9,Article,accepted,"The paper analyzes the impact of road network development on land use and land cover changes, specifically forest fragmentation, in the Himalayan foothills. It links road expansion to urbanization and environmental degradation, highlighting the need for conservation in response to infrastructure development.",analytical,regional,modeling,transport_to_ecosystem,yes,"Examines how road network development leads to forest fragmentation and land use change, emphasizing the ecological consequences."
P171,Shepherd B.J.; Houck J.; Lyon C.,"On the road again: A study valuing wildlife crossings for wetland mitigation on State Road 40 in Volusia County, Florida",2023,Ecosphere,10.1002/ecs2.4566,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P172,Denneboom D.; Bar-Massada A.; Shwartz A.,Wildlife mortality risk posed by high and low traffic roads,2024,Conservation Biology,10.1111/cobi.14159,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P173,Su J.; Wu M.; Liu Z.,Spatial–Temporal Evolution of Ecological Network Structure During 1967–2021 in Yongding River Floodplain,2025,Land,10.3390/land14050930,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P174,Bandyopadhyay K.; Jain D.; Koprowski J.; Qureshi Q.; Jhala Y.V.,Distribution and conservation status of the jungle cat (Felis chaus) across India,2026,Scientific Reports,10.1038/s41598-026-39033-1,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P175,Fonda F.; D'Amico M.; Petruzzellis F.; Scridel D.; Pesaro S.; Tomè P.; Bacaro G.,Rethinking road mitigation priorities through detection-informed interpretation of roadkill data and road crossability,2026,Biological Conservation,10.1016/j.biocon.2025.111619,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P176,Roper O.I.; Youngsteadt E.,Bee-Mediated Pollen Transport Across Five Urban Landscape Features: Buildings Are Important Barriers,2025,Ecology and Evolution,10.1002/ece3.71339,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P177,Wade B.S.; Carter E.T.; Derolph C.R.; Byrd G.; Darling S.E.; Hayter L.E.; Jett R.T.; Herold J.M.; Giffen N.R.,Advancing wildlife connectivity in land use planning: a case study with four-toed salamanders,2023,Journal of Wildlife Management,10.1002/jwmg.22456,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P178,Lee T.S.; Jones P.F.; Jakes A.F.; Jensen M.; Sanderson K.; Duke D.,Where to invest in road mitigation? A comparison of multiscale wildlife data to inform roadway prioritization,2023,Journal for Nature Conservation,10.1016/j.jnc.2022.126327,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P179,Aiello C.M.; Galloway N.L.; Prentice P.R.; Darby N.W.; Hughson D.; Epps C.W.,Movement models and simulation reveal highway impacts and mitigation opportunities for a metapopulation-distributed species,2023,Landscape Ecology,10.1007/s10980-023-01600-6,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
P180,Hewlett B.; Elderkin S.; King R.,"Nature-positive infrastructure-habitat connectivity structures, a call to arms",2024,Proceedings of the Institution of Civil Engineers: Civil Engineering,10.1680/jcien.24.00930,Article,error,max_retries_reached,unclear,unclear,unclear,unclear,unclear,
